nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment,study_duration_days
NCT03553680,An Emotion-Focused Psychosocial Intervention for Improved Glycemic Control in T2D Patients: A Pilot Study,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,20.0,792.0
NCT00130806,"A Study to Assess the Efficacy and Tolerability of MK0478 (Muraglitazar, Also, BMS 298585) Coadministered With Insulin in Patients With Type 2 Diabetes",TERMINATED,INTERVENTIONAL,DRUG,['PHASE3'],0,2005-09-01,2005-11-01,600.0,61.0
NCT03937934,Study Title: Food Rx,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,24.0,792.0
NCT03733873,Study on the Therapeutic Schedule and Mechanism of Suoquan Mixture Combined With Desmopressin to Children's Monosymptomatic Enuresis,COMPLETED,INTERVENTIONAL,DRUG,['NA'],1,,,400.0,792.0
NCT05332301,Exploring Sex Differences in the Acute Postprandial Metabolic Response to a High-fat Mixed Macronutrient Meal Challenge in Healthy Young Humans,RECRUITING,INTERVENTIONAL,OTHER,['NA'],1,,,24.0,792.0
NCT00585897,"Title: Effects of Discontinuation of Sugar Sweetened Beverages on Hemoglobin A1c, Fasting and Post Prandial Blood Glucose in Type 2 Diabetics",COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,2007-01-01,2008-07-01,5.0,547.0
NCT03818581,Effect of Suvorexant on Sleep Disturbance in Patients With Chronic Insomnia and Suboptimally Controlled Type 2 Diabetes: A Randomized 3-month Clinical Trial Using a Sequential Parallel Comparison Design,COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],1,,,108.0,792.0
NCT01240785,Metformin Versus Insulin in Gestational Diabetes. A Randomized Controlled Single Center Trial.,COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],0,2006-06-01,2012-12-01,221.0,2375.0
NCT02980627,iOmit: Reducing Intentional Insulin Misuse in Type 1 Diabetes,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],2,2016-03-01,,27.0,3695.0
NCT06112418,A Randomized Comparison of Cleerly Coronary Artery Disease Stage-Based Care Versus Risk Factor-Based Care for Primary Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,DEVICE,['NA'],122,,,7500.0,792.0
NCT01781884,Effects Of Gamma Aminobutyric Acid On The Progression Of New Onset Juvenile,UNKNOWN,INTERVENTIONAL,DRUG,['NA'],1,2013-01-01,2014-12-01,60.0,699.0
NCT01558271,A Phase 3 Study of LY2189265 Monotherapy Compared to Placebo and Liraglutide in Patients With Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,DRUG,['PHASE3'],14,2012-03-01,2014-05-01,492.0,791.0
NCT01160328,Influence of Male Hormones on Regional Fat Metabolism,COMPLETED,INTERVENTIONAL,DRUG,['PHASE1'],1,2010-06-01,2013-01-01,39.0,945.0
NCT06313008,"A Clinical Study Comparing Effects of Empagliflozin Versus Vildagliptin on Inflammatory Biomarkers, and Atrial Function in Coronary Artery Disease Patients With Type 2 Diabetes: EMBA-VILDA-Response Trial.",COMPLETED,INTERVENTIONAL,DRUG,['NA'],1,,,120.0,792.0
